region,total,2022,2023,2024,2025,2026
Неизвестно,485,11,45,44,93,0
Иностранцы,691,141,131,192,68,1
Москва,3292,321,1077,1344,442,1
Санкт-Петербург,2149,204,796,748,287,5
Республика Адыгея,489,96,103,189,75,0
Республика Алтай,754,55,148,354,154,5
Алтайский край,4123,288,852,2018,749,16
Амурская область,1546,146,404,533,395,1
Архангельская область,2047,151,552,734,453,18
Астраханская область,1799,167,509,656,275,2
Республика Башкортостан,8955,510,1257,4407,2041,6
Белгородская область,2142,321,516,904,311,3
Брянская область,1841,240,475,631,366,14
Республика Бурятия,4326,460,969,1233,1537,29
Воронежская область,2799,371,646,1240,373,2
Владимирская область,1549,176,343,663,278,3
Волгоградская область,4201,581,1021,1526,646,6
Вологодская область,1798,94,486,707,329,1
Республика Дагестан,2077,453,443,642,225,2
Еврейская автономная область,332,44,89,119,71,0
Забайкальский край,4134,345,1084,1500,916,6
Ивановская область,1465,165,291,587,280,2
Иркутская область,5003,228,1070,2070,1194,14
Республика Ингушетия,227,45,25,65,23,1
Кабардино-Балкарская Республика,624,111,123,237,97,0
Калининградская область,1439,235,408,422,298,3
Республика Калмыкия,522,50,147,210,88,0
Калужская область,1188,101,295,482,193,3
Камчатский край,786,81,208,296,179,1
Республика Карачаево-Черкесия,413,68,77,172,71,0
Республика Карелия,1211,92,288,438,222,6
Кемеровская область,4555,355,1204,1987,767,4
Кировская область,2949,213,522,1356,579,7
Республика Коми,1768,184,388,539,479,9
Костромская область,1005,180,180,372,188,5
Краснодарский край,6245,907,1685,2182,1133,10
Красноярский край,4925,317,1206,2186,802,6
Курганская область,1878,167,332,823,328,3
Курская область,1380,174,358,565,187,1
Ленинградская область,1618,188,411,579,299,4
Липецкая область,1365,155,355,564,216,3
Магаданская область,410,44,104,135,109,1
Республика Марий Эл,1423,147,294,652,231,5
Московская область,5534,607,1461,2149,866,9
Республика Мордовия,1136,101,313,510,134,1
Мурманская область,997,151,314,328,142,6
Ненецкий автономный округ,118,15,30,30,28,0
Новосибирская область,3800,266,820,1823,652,5
Нижегородская область,3130,372,713,1266,508,3
Новгородская область,970,72,273,312,194,2
Омская область,3239,261,734,1483,529,5
Оренбургская область,3892,384,1025,1671,559,2
Орловская область,968,113,283,381,110,3
Пензенская область,2138,230,390,1099,302,0
Пермский край,5867,351,1152,2517,1284,16
Псковская область,1068,204,264,345,133,1
Приморский край,3736,436,1189,1281,592,4
Ростовская область,5171,771,1211,1940,945,11
Рязанская область,1026,155,195,468,146,1
Самарская область,3838,409,991,1453,593,3
Саратовская область,4549,353,718,1627,890,6
Сахалинская область,1324,127,365,415,120,1
Свердловская область,6950,692,1355,3057,1309,7
Республика Северная Осетия-Алания,1239,195,319,381,247,0
Смоленская область,980,134,236,400,138,0
Ставропольский край,3311,492,895,1190,509,3
Тамбовская область,1393,176,281,644,237,0
Республика Татарстан,7639,403,1497,3524,1988,93
Тверская область,1703,131,438,632,303,5
Томская область,1985,131,354,1037,331,3
Тульская область,1280,169,336,532,177,1
Республика Тыва,1807,169,413,629,364,7
Тюменская область,2296,133,447,1086,403,8
Удмуртская Республика,3186,232,549,1449,456,4
Ульяновская область,2242,305,477,897,327,7
Хабаровский край,1845,198,451,756,359,1
Республика Хакасия,1320,60,292,582,286,1
Ханты-Мансийский автономный округ - Югра,2244,101,570,1034,428,6
Челябинская область,6315,543,1148,2700,1241,5
Чеченская Республика,486,221,66,111,28,0
Чувашская Республика,1725,179,309,834,250,1
Чукотский автономный округ,246,15,60,86,62,1
Республика Саха (Якутия),2690,113,519,919,963,38
Ямало-Ненецкий автономный округ,1024,36,209,425,169,1
Ярославская область,1160,120,248,495,189,1
Байконур,3,0,1,2,0,0
Республика Крым,1763,267,342,646,371,5
Севастополь,554,108,112,158,71,1
ДНР,1537,48,475,736,222,0
ЛНР,850,15,192,470,145,1
